Week,DistrictName,DistrictCode,DistrictOrganizationId,Status,Model_Elementary,Model_Middle,Model_High,GradeLevels_Remote_Phasein,StudentGroups_Remote_Phasein,Other_Remote_Phasein,Enrollment_Elementary,FullTimeALE_Elementary,OptOut_Elementary,TypicalInPerson_Elementary,Weekly_Elementary,Enrollment_Middle,FullTimeALE_Middle,OptOut_Middle,TypicalInPerson_Middle,Weekly_Middle,Enrollment_High,FullTimeALE_High,OptOut_High,TypicalInPerson_High,Weekly_High
Week of 3/8/2021,Bellevue School District,17405,100019,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2","English Language Learners,Homeless,Students with Disabilities,Other - Write In (Required)",Academic Support,8191,0,2778,2305,2305,4782,0,1363,200,200,6710,0,1551,722,722
Week of 3/8/2021,Bellingham School District,37501,100020,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11",,,5020,574,405,3517,4193,2559,179,524,1094,1989,3558,55,324,600,1647
Week of 3/8/2021,Benge School District,1122,100021,Complete,Typical/Traditional In-Person,Not Applicable,Not Applicable,,,,15,0,2,13,13,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Bethel School District,27403,100022,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Students with Disabilities",,8973,0,873,3431,6862,4771,0,0,309,525,5444,0,0,328,591
Week of 3/8/2021,Bickleton School District,20203,100023,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,53,0,1,52,52,19,0,1,18,18,38,0,1,37,37
Week of 3/8/2021,Blaine School District,37503,100024,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,990,37,216,357,357,506,26,121,195,195,655,21,193,200,200
Week of 3/8/2021,Boistfort School District,21234,100025,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,70,0,10,60,60,14,0,2,12,12,0,0,0,0,0
Week of 3/8/2021,Bremerton School District,18100,100026,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,2085,95,655,735,1425,1003,37,0,9,4,1297,183,0,44,21
Week of 3/8/2021,Brewster School District,24111,100027,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,404,0,19,355,385,243,0,21,178,222,274,0,14,188,260
Week of 3/8/2021,Bridgeport School District,9075,100028,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,320,0,2,318,318,197,0,4,193,193,224,14,2,222,222
Week of 3/8/2021,Brinnon School District,16046,100029,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,46,0,3,43,43,34,0,2,32,32,0,0,0,0,0
Week of 3/8/2021,Burlington-Edison School District,29100,100030,Complete,Partial In-Person for All Students,Partial In-Person for All Students,100% Remote,,,,1625,0,300,600,1225,555,0,50,250,505,1117,20,0,50,50
Week of 3/8/2021,Camas School District,6117,100031,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2806,0,551,1237,2248,1740,0,381,741,1352,2476,1,707,2289,1008
Week of 3/8/2021,Cape Flattery School District,5401,100032,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,271,0,10,75,75,107,0,4,42,42,137,0,6,85,85
Week of 3/8/2021,Carbonado School District,27019,100033,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,129,0,2,127,127,61,0,1,60,60,0,0,0,0,0
Week of 3/8/2021,Cascade School District,4228,100034,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,514,56,111,200,385,303,22,83,120,222,373,4,87,144,283
Week of 3/8/2021,CASHMERE SCHOOL DISTRICT,4222,100035,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,553,0,28,515,515,513,0,23,490,475,447,0,97,350,350
Week of 3/8/2021,Castle Rock School District,8401,100036,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,600,0,60,250,540,330,0,50,165,280,400,0,60,175,340
Week of 3/8/2021,Centerville School District,20215,100037,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,49,0,3,46,0,39,0,1,38,0,0,0,0,0,0
Week of 3/8/2021,Central Kitsap School District,18401,100038,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities,Students with Inadequate Internet Connectivity",,4757,293,400,4064,4064,2606,91,220,108,235,3421,60,327,142,309
Week of 3/8/2021,Central Valley School District,32356,100039,Complete,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,6201,0,889,5312,5312,3314,0,542,2022,2772,4110,100,1298,1539,2712
Week of 3/8/2021,Centralia School District,21401,100040,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Students with Inadequate Internet Connectivity",,1842,0,368,740,1480,511,0,0,35,60,969,0,0,50,100
Week of 3/8/2021,Chehalis School District,21302,100041,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,182,643,1285,655,3,76,328,655,1094,35,95,607,1094
Week of 3/8/2021,Cheney School District,32360,100042,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2287,0,508,1488,1779,1235,0,342,457,914,1379,0,542,419,837
Week of 3/8/2021,Chief Leschi Tribal Compact,27901,106180,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,"Homeless,Students with Disabilities,Other - Write In (Required)",Students struggling academically or with engagement,325,0,62,263,263,139,0,0,15,20,172,0,0,15,38
Week of 3/8/2021,Chimacum School District,16049,100044,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,374,28,84,262,262,114,9,34,71,71,281,35,134,112,112
Week of 3/8/2021,Clarkston School District,2250,100045,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1224,14,142,1068,1055,382,3,59,320,295,868,89,119,660,646
Week of 3/8/2021,Cle Elum-Roslyn School District,19404,100046,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,363,33,33,330,330,238,20,20,218,218,242,20,20,222,222
Week of 3/8/2021,Clover Park School District,27400,100047,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Phase-In,"Grade 9,Grade 12",,,6174,0,1669,2224,2359,2656,0,1023,681,732,2838,67,1304,210,298
Week of 3/8/2021,College Place School District,36250,100049,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,690,0,97,593,593,382,0,40,342,342,484,13,106,345,345
Week of 3/8/2021,Colton School District,38306,100050,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,80,0,2,78,78,32,0,0,32,32,41,0,1,40,40
Week of 3/8/2021,Columbia (Stevens) School District,33206,100051,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,50,0,5,45,0,15,0,0,15,0,44,0,3,41,0
Week of 3/8/2021,Columbia (Walla Walla) School District,36400,100052,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,315,0,21,294,294,174,0,16,158,158,211,0,17,194,194
Week of 3/8/2021,Colville School District,33115,100053,Complete,Typical/Traditional In-Person,Partial In-Person for All Students,Typical/Traditional In-Person,,,,645,0,67,436,578,392,0,46,180,346,494,3,44,447,447
Week of 3/8/2021,Concrete School District,29011,100054,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,283,0,44,119,120,69,0,14,28,27,135,6,15,77,77
Week of 3/8/2021,Conway School District,29317,100055,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,279,0,46,120,235,164,0,13,75,151,0,0,0,0,0
Week of 3/8/2021,Cosmopolis School District,14099,100056,Complete,Typical/Traditional In-Person,Not Applicable,Not Applicable,,,,163,0,6,157,157,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Coulee-Hartline School District,13151,100057,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,81,0,1,80,80,49,0,0,49,49,71,0,2,69,69
Week of 3/8/2021,Coupeville School District,15204,100058,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Students with Disabilities",,446,0,109,337,337,208,0,62,79,146,265,0,0,20,30
Week of 3/8/2021,Crescent School District,5313,100059,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,179,98,4,77,77,81,26,6,49,50,64,0,10,55,55
Week of 3/8/2021,Creston School District,22073,100060,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,41,0,2,39,39,13,0,0,13,13,33,0,5,28,28
Week of 3/8/2021,Curlew School District,10050,100061,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,109,23,6,80,80,53,13,5,35,35,129,24,11,50,50
Week of 3/8/2021,Cusick School District,26059,100062,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,141,25,30,92,86,67,14,8,45,45,70,0,3,67,67
Week of 3/8/2021,Damman School District,19007,100063,Complete,Typical/Traditional In-Person,Not Applicable,Not Applicable,,,,43,0,6,37,37,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Darrington School District,31330,100064,Complete,Phase-In,Phase-In,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8",Students with Disabilities,,185,0,12,172,174,85,0,10,74,74,116,0,1,13,18
Week of 3/8/2021,Davenport School District,22207,100065,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,233,0,6,227,226,126,0,4,122,122,166,0,4,161,161
Week of 3/8/2021,Dayton School District,7002,100066,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,178,0,12,166,166,100,0,12,88,88,107,6,9,98,98
Week of 3/8/2021,Dieringer School District,27343,100068,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,880,0,153,364,727,471,0,72,198,399,0,0,0,0,0
Week of 3/8/2021,Dixie School District,36101,100069,Complete,Typical/Traditional In-Person,Not Applicable,Not Applicable,,,,28,0,2,26,0,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,East Valley School District (Spokane),32361,100070,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1933,166,362,702,1405,624,74,63,243,487,1118,263,75,390,780
Week of 3/8/2021,East Valley School District (Yakima),39090,100071,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1487,0,224,1256,1263,796,0,215,578,581,928,13,278,615,650
Week of 3/8/2021,Eastmont School District,9206,100072,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2078,213,0,1865,0,1449,109,236,1104,0,2266,202,254,1810,0
Week of 3/8/2021,Easton School District,19028,100073,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,45,0,3,42,42,19,0,3,16,16,22,0,3,19,19
Week of 3/8/2021,Eatonville School District,27404,100074,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,755,83,0,336,672,462,23,0,220,439,522,19,0,270,502
Week of 3/8/2021,Edmonds School District,31015,100075,Complete,Small Groups + Remote,100% Remote,100% Remote,,"English Language Learners,Low Income,Homeless,Section 504,Students with Disabilities",,10598,414,14,132,132,3211,121,1,12,12,6614,375,4,55,55
Week of 3/8/2021,Ellensburg School District,19401,100076,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1400,0,300,1000,1000,800,0,200,500,500,850,40,250,600,600
Week of 3/8/2021,Endicott School District,38308,100078,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,37,0,0,37,37,46,0,0,46,46,0,0,0,0,0
Week of 3/8/2021,Entiat School District,4127,100079,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,143,0,0,143,143,82,0,0,82,82,82,0,0,82,82
Week of 3/8/2021,Enumclaw School District,17216,100080,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1742,0,263,747,1490,984,0,162,423,823,1186,0,331,452,882
Week of 3/8/2021,Ephrata School District,13165,100081,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1305,0,147,1158,1158,447,0,97,350,344,833,3,180,617,617
Week of 3/8/2021,Everett School District,31002,100083,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","Students with Disabilities,Other - Write In (Required)",Targeted in-person academic support,9310,0,3435,1780,3383,4693,0,6,19,19,5120,0,20,50,50
Week of 3/8/2021,Evergreen School District (Clark),6114,100084,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",,,9767,0,2522,3755,7245,5663,0,2141,1755,3522,7872,0,3644,2135,4228
Week of 3/8/2021,Evergreen School District (Stevens),33205,100085,Complete,Typical/Traditional In-Person,Not Applicable,Not Applicable,,,,32,0,0,32,32,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Federal Way School District,17210,100086,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,9162,18,4,8,9,5110,69,0,5,5,6093,162,2,15,15
Week of 3/8/2021,Ferndale School District,37502,100087,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1910,12,436,673,1462,1050,7,269,388,774,1375,32,399,456,944
Week of 3/8/2021,Fife School District,27417,100088,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",,,1666,0,549,560,1117,873,0,284,295,589,1179,6,456,362,723
Week of 3/8/2021,Finley School District,3053,100089,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,369,0,16,151,320,226,0,8,110,215,282,0,12,200,265
Week of 3/8/2021,Franklin Pierce School District,27402,100090,Complete,Phase-In,Phase-In,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8","English Language Learners,Homeless,Students with Disabilities,Other - Write In (Required),Students with Inadequate Internet Connectivity",Tier 3 Academic and Attendance Students,3398,0,888,2136,2501,1831,0,482,673,1345,2253,0,101,45,205
Week of 3/8/2021,Freeman School District,32358,100091,Complete,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,282,2,10,275,275,238,0,10,228,228,300,2,35,265,265
Week of 3/8/2021,Garfield School District,38302,100092,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Not Applicable,,,,50,0,2,48,48,58,0,4,54,54,84,0,6,78,78
Week of 3/8/2021,Glenwood School District,20401,100093,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,24,0,0,24,24,22,0,0,22,22,19,0,0,19,19
Week of 3/8/2021,Goldendale School District,20404,100094,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,610,334,25,128,260,755,527,28,100,200,830,555,15,135,270
Week of 3/8/2021,Grand Coulee Dam School District,13301,100095,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,333,0,70,263,263,123,2,29,46,92,384,41,102,141,282
Week of 3/8/2021,Grandview School District,39200,100096,Complete,Partial In-Person for All Students,Small Groups + Remote,Partial In-Person for All Students,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,1653,0,446,896,1214,893,0,648,230,245,1010,31,498,512,1024
Week of 3/8/2021,Granger School District,39204,100097,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,527,0,128,400,400,461,0,194,270,270,439,0,175,263,275
Week of 3/8/2021,Granite Falls School District,31332,100098,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Students with Inadequate Internet Connectivity",,860,0,0,200,400,491,0,0,25,50,647,30,0,50,100
Week of 3/8/2021,Grapeview School District,23054,100099,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,125,0,29,49,95,68,0,25,24,43,0,0,0,0,0
Week of 3/8/2021,Great Northern School District,32312,100100,Complete,Partial In-Person for All Students,Not Applicable,Not Applicable,,,,35,0,2,33,33,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Green Mountain School District,6103,100101,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,,,,120,0,2,118,118,40,0,1,39,39,0,0,0,0,0
Week of 3/8/2021,Griffin School District,34324,100102,Complete,Phase-In,Small Groups + Remote,Not Applicable,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,366,0,0,75,150,228,0,0,20,40,0,0,0,0,0
Week of 3/8/2021,Highland School District,39203,100104,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,556,0,33,483,503,185,0,16,169,169,365,0,50,315,315
Week of 3/8/2021,Highline School District,17401,100105,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1",Students with Disabilities,,8760,0,1757,1684,1684,3920,0,63,72,72,6926,19,48,113,113
Week of 3/8/2021,Hockinson School District,6098,100106,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,741,0,168,574,574,461,0,106,187,372,605,0,211,199,398
Week of 3/8/2021,Hood Canal School District,23404,100107,Complete,Small Groups + Remote,Small Groups + Remote,Not Applicable,,"English Language Learners,Students with Disabilities",,184,0,0,15,15,104,0,0,9,9,0,0,0,0,0
Week of 3/8/2021,Hoquiam School District,14028,100108,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,,Students with Disabilities,,673,23,159,491,491,367,47,84,236,236,501,71,0,0,0
Week of 3/8/2021,Impact | Puget Sound Elementary,17911,106096,Complete,Partial In-Person for All Students,Not Applicable,Not Applicable,,,,406,0,238,168,168,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Impact | Salish Sea Elementary,17916,106254,Complete,Partial In-Person for All Students,Not Applicable,Not Applicable,,,,122,0,82,40,40,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Inchelium School District,10070,100109,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,100,0,2,98,98,52,0,1,51,51,61,0,3,58,58
Week of 3/8/2021,Index School District,31063,100110,Complete,Partial In-Person for All Students,Small Groups + Remote,Not Applicable,,Students with Disabilities,,22,0,2,20,20,2,0,0,2,2,0,0,0,0,0
Week of 3/8/2021,Issaquah School District,17411,100111,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities,Students with Inadequate Internet Connectivity",,8585,0,2935,2589,2589,4943,0,10,19,19,6335,0,26,38,38
Week of 3/8/2021,Kalama School District,8402,100113,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,477,0,36,274,441,242,0,36,104,207,271,15,33,112,223
Week of 3/8/2021,Keller School District,10003,100114,Complete,Partial In-Person for All Students,Not Applicable,Not Applicable,,,,39,1,1,38,38,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Kelso School District,8458,100115,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2050,295,11,1325,2050,1135,177,5,630,1135,1496,165,102,800,1496
Week of 3/8/2021,Kennewick School District,3017,100116,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,8594,289,812,3746,7493,4339,132,461,1873,3746,6066,141,533,2696,5392
Week of 3/8/2021,Kent School District,17415,100117,Complete,100% Remote,100% Remote,100% Remote,,,,13852,0,0,0,0,4035,0,0,0,0,7666,288,0,0,0
Week of 3/8/2021,Kiona-Benton City School District,3052,100119,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,627,0,97,530,530,334,0,11,323,323,393,0,23,370,370
Week of 3/8/2021,Kittitas School District,19403,100120,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",,,255,0,10,125,245,125,0,12,70,120,200,0,10,125,170
Week of 3/8/2021,Klickitat School District,20402,100121,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,35,0,0,35,35,21,0,0,21,21,18,0,0,18,18
Week of 3/8/2021,La Center School District,6101,100122,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,673,35,114,262,524,397,41,41,178,356,534,65,65,234,468
Week of 3/8/2021,La Conner School District,29311,100123,Complete,Partial In-Person for All Students,Partial In-Person for All Students,100% Remote,,,,247,0,57,190,190,139,0,42,97,97,227,0,0,0,10
Week of 3/8/2021,LaCrosse School District,38126,100124,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,40,0,0,40,40,19,0,0,19,19,23,0,1,22,22
Week of 3/8/2021,Lake Chelan School District,4129,100125,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",,,518,0,19,499,499,296,0,30,266,266,468,0,36,432,432
Week of 3/8/2021,Lake Quinault School District,14097,100211,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,81,0,14,67,67,46,0,4,42,42,48,0,6,42,42
Week of 3/8/2021,Lake Stevens School District,31004,100126,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities",,3988,0,908,2998,2998,2229,0,0,43,93,2569,0,0,31,62
Week of 3/8/2021,Lake Washington School District,17414,100127,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1",Students with Disabilities,,14632,20,2294,2360,0,7234,17,0,68,296,8567,14,0,73,470
Week of 3/8/2021,Lamont School District,38264,100129,Complete,Not Applicable,Partial In-Person for All Students,Not Applicable,,,,0,0,0,0,0,42,0,6,36,36,0,0,0,0,0
Week of 3/8/2021,Liberty School District,32362,100130,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,222,0,6,200,216,131,0,12,72,119,172,3,9,91,160
Week of 3/8/2021,Lind School District,1158,100131,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,102,0,9,93,93,47,0,3,44,44,52,0,10,42,42
Week of 3/8/2021,Longview School District,8122,100132,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,2726,0,150,1500,2576,1531,25,150,800,1381,1879,50,150,1000,1729
Week of 3/8/2021,Loon Lake School District,33183,100133,Complete,Typical/Traditional In-Person,Not Applicable,Not Applicable,,,,98,0,4,94,94,0,0,0,0,0,0,0,0,0,0
Week of 3/8/2021,Lopez School District,28144,100134,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1","English Language Learners,Students with Disabilities",,112,12,5,23,36,65,8,0,0,4,55,6,0,0,13
Week of 3/8/2021,Lumen Public School,32903,106257,Complete,Not Applicable,Not Applicable,Partial In-Person for All Students,,,,0,0,0,0,0,0,0,0,0,0,43,0,2,20,41
Week of 3/8/2021,Lyle School District,20406,100135,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,104,0,6,68,98,48,0,1,34,47,65,0,17,31,48
Week of 3/8/2021,Lynden School District,37504,100136,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1492,46,122,1370,1370,732,27,75,335,675,1067,15,129,469,938
Week of 3/8/2021,Mabton School District,39120,100137,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,465,0,201,257,257,137,0,58,70,79,238,0,107,42,47
Week of 3/8/2021,Mansfield School District,9207,100138,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,43,0,4,39,39,22,0,1,21,21,28,0,1,27,27
Week of 3/8/2021,Manson School District,4019,100139,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,264,0,10,254,0,164,0,7,157,0,219,0,22,197,0
Week of 3/8/2021,Mary M Knight School District,23311,100140,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,84,1250,5,79,79,22,789,1,21,21,54,0,8,42,42
Week of 3/8/2021,Mary Walker School District,33207,100141,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,169,15,9,77,160,98,15,13,43,87,118,34,8,40,110
Week of 3/8/2021,Marysville School District,31025,100142,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Low Income,Homeless,Migrant,Section 504,Students with Disabilities",,4482,0,697,1099,2199,2420,48,0,130,260,2733,70,0,160,320
Week of 3/8/2021,McCleary School District,14065,100143,Complete,Typical/Traditional In-Person,Small Groups + Remote,Not Applicable,,Students with Disabilities,,201,0,11,130,130,83,0,0,0,7,0,0,0,0,0
Week of 3/8/2021,Mead School District,32354,100144,Complete,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,4144,0,804,3340,3340,2521,0,379,1071,1071,3441,0,517,1462,1462
Week of 3/8/2021,Mercer Island School District,17400,100146,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5","English Language Learners,Foster Care,Low Income,Section 504,Students with Disabilities",,1372,29,295,811,1251,1021,0,6,30,30,1446,0,11,50,50
Week of 3/8/2021,Meridian School District,37505,100147,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,879,282,0,299,597,472,126,0,173,346,393,0,30,181,363
Week of 3/8/2021,Methow Valley School District,24350,100148,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,388,12,70,164,319,108,3,29,38,76,200,0,4,98,196
Week of 3/8/2021,Mill A School District,30031,100149,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,27,0,0,29,29,14,0,0,14,14,13,0,0,10,13
